function_name,execution_time,memory_used_mb,memory_peak_mb,timestamp
model_fitting,0.01296234130859375,0.0,146.91015625,2025-07-27 08:18:13.825259
model_fitting,0.01337432861328125,0.0,146.9140625,2025-07-27 08:18:13.850867
model_fitting,0.012830495834350586,0.0,146.9140625,2025-07-27 08:18:13.870883
model_fitting,0.012652873992919922,0.0,146.9140625,2025-07-27 08:18:13.890640
model_fitting,0.008102893829345703,0.00390625,146.91796875,2025-07-27 08:18:13.910079
model_fitting,0.009350061416625977,0.0,146.91796875,2025-07-27 08:18:13.929881
model_fitting,0.011858940124511719,0.0,146.91796875,2025-07-27 08:18:13.951291
model_fitting,0.012180089950561523,0.01171875,146.9296875,2025-07-27 08:18:13.969879
model_fitting,0.013217926025390625,0.0,146.93359375,2025-07-27 08:18:13.990403
model_fitting,0.009624004364013672,0.0,146.93359375,2025-07-27 08:18:14.010958
model_fitting,0.010456085205078125,0.0,146.93359375,2025-07-27 08:18:14.031590
model_fitting,0.013189554214477539,0.0,146.93359375,2025-07-27 08:18:14.053529
model_fitting,0.013726234436035156,0.0,146.9375,2025-07-27 08:18:14.073574
model_fitting,0.010961055755615234,0.0,146.9453125,2025-07-27 08:18:14.094887
model_fitting,0.013234853744506836,0.00390625,146.94921875,2025-07-27 08:18:14.121144
model_fitting,0.011066198348999023,0.0,146.94921875,2025-07-27 08:18:14.140024
model_fitting,0.009468555450439453,0.0078125,146.9609375,2025-07-27 08:18:14.160740
model_fitting,0.008846044540405273,0.02734375,146.9921875,2025-07-27 08:18:14.179062
model_fitting,0.007490634918212891,0.0,147.0859375,2025-07-27 08:18:16.342632
model_fitting,0.01129913330078125,0.0,147.0859375,2025-07-27 08:18:16.365168
model_fitting,0.014063835144042969,0.0,147.0859375,2025-07-27 08:18:16.388079
model_fitting,0.01117706298828125,0.0,147.0859375,2025-07-27 08:18:16.410350
model_fitting,0.010112524032592773,0.0,147.0859375,2025-07-27 08:18:16.430999
model_fitting,0.012745380401611328,0.0,147.0859375,2025-07-27 08:18:16.453712
model_fitting,0.012631893157958984,0.0234375,147.109375,2025-07-27 08:18:16.475813
model_fitting,0.013128519058227539,0.0234375,147.1328125,2025-07-27 08:18:16.500320
model_fitting,0.012419939041137695,0.03515625,147.171875,2025-07-27 08:18:16.522829
model_fitting,0.009164810180664062,0.0,147.17578125,2025-07-27 08:18:16.542943
model_fitting,0.009042501449584961,0.0,147.17578125,2025-07-27 08:18:16.563687
model_fitting,0.014025688171386719,0.00390625,147.18359375,2025-07-27 08:18:16.587609
model_fitting,0.011115550994873047,0.015625,147.19921875,2025-07-27 08:18:16.607625
